Cakupan,UHH,HLS,RLS,Pengeluaran,IPM,Tahun
KABUPATEN MELAWI,72.97,11.16,6.76,8332.0,65.55,2020
KABUPATEN KAYONG UTARA,68.28,11.82,6.01,7842.0,62.68,2020
KABUPATEN KUBU RAYA,70.59,13.82,6.83,8709.0,67.95,2020
KOTA PONTIANAK,72.96,15.0,10.17,14465.0,79.44,2020
KOTA SINGKAWANG,72.06,12.9,7.89,11650.0,71.94,2020
KABUPATEN KOTAWARINGIN BARAT,70.59,12.72,8.42,13109.0,72.87,2020
KABUPATEN KOTAWARINGIN TIMUR,69.85,12.84,8.13,11854.0,71.31,2020
KABUPATEN KAPUAS,68.74,12.92,7.59,11015.0,69.48,2020
KABUPATEN BARITO SELATAN,67.09,12.55,8.82,11486.0,70.22,2020
KABUPATEN BARITO UTARA,71.3,12.49,8.71,9936.0,70.59,2020
KABUPATEN SUKAMARA,71.53,12.12,8.01,8674.0,68.03,2020
KABUPATEN LAMANDAU,69.36,12.48,8.42,11190.0,70.51,2020
KABUPATEN SERUYAN,69.26,11.99,7.94,9370.0,67.58,2020
KABUPATEN KATINGAN,65.78,12.67,8.67,10548.0,68.68,2020
KABUPATEN PULANG PISAU,68.04,12.41,8.18,10047.0,68.45,2020
KABUPATEN GUNUNG MAS,70.4,11.78,9.14,10793.0,70.81,2020
KABUPATEN BARITO TIMUR,68.22,12.83,9.21,11319.0,71.39,2020
KABUPATEN MURUNG RAYA,69.51,11.75,7.54,10419.0,67.98,2020
KOTA PALANGKA RAYA,73.21,14.95,11.52,14055.0,80.77,2020
KABUPATEN TANAH LAUT,69.45,12.01,7.88,11207.0,69.38,2020
KABUPATEN KOTA BARU,69.21,11.93,7.43,11530.0,68.86,2020
KABUPATEN BANJAR,67.21,12.44,7.35,12603.0,69.18,2020
KABUPATEN BARITO KUALA,66.09,12.39,7.34,9805.0,66.22,2020
KABUPATEN TAPIN,70.4,11.94,7.76,11841.0,70.11,2020
KABUPATEN HULU SUNGAI SELATAN,65.97,12.17,7.75,12672.0,68.85,2020
KABUPATEN HULU SUNGAI TENGAH,66.01,12.2,8.0,12153.0,68.84,2020
KABUPATEN HULU SUNGAI UTARA,63.83,12.91,7.53,9527.0,65.59,2020
KABUPATEN TABALONG,70.44,12.72,9.1,11283.0,72.19,2020
KABUPATEN TANAH BUMBU,70.34,12.37,7.96,11718.0,70.71,2020
KABUPATEN BALANGAN,67.72,12.46,7.55,11452.0,68.82,2020
